player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
A.C. Green,greenac01,39044,104.2,17.1,1,0,Superstar
A.J. Bramlett,bramlaj01,61,-0.2,-0.2,0,0,Rotational
A.J. English,engliaj01,3108,1.1,-1.5,0,0,Rotational
A.J. Green,greenaj01,4888,7.1,-0.8,0,0,Rotational
A.J. Guyton,guytoaj01,1246,0.3,-0.2,0,0,Rotational
A.J. Hammons,hammoaj01,163,0,-0.2,0,0,Rotational
A.J. Lawson,lawsoaj01,1239,1.8,-0.4,0,0,Rotational
A.J. Price,priceaj01,4253,5,0.6,0,0,Rotational
A.J. Wynder,wyndeaj01,39,0,0,0,0,Rotational
A.W. Holt,holtaw01,14,-0.1,0,0,0,Rotational
AJ Griffin,griffaj01,1572,1.8000000000000003,0.10000000000000003,0,0,Rotational
AJ Johnson,johnsaj01,2186,-2.5,-3.5,0,0,Rotational
Aaron Brooks,brookaa01,17277,23.3,2.8,0,0,Starter
Aaron Gordon,gordoaa01,23465,52.2,14.1,0,0,All-Star
Aaron Gray,grayaa01,4517,7.1,-1.6,0,0,Rotational
Aaron Harrison,harriaa01,343,-0.2,-0.4,0,0,Rotational
Aaron Henry,henryaa01,17,-0.1,-0.1,0,0,Rotational
Aaron Holiday,holidaa01,9168,12.9,0.20000000000000004,0,0,Rotational
Aaron Jackson,jacksaa01,35,0,-0.1,0,0,Rotational
Aaron James,jamesaa01,7671,13.2,-0.6,0,0,Rotational
Aaron McKie,mckieaa01,22594,44.9,14.3,0,0,Starter
Aaron Miles,milesaa01,118,0,-0.1,0,0,Rotational
Aaron Nesmith,nesmiaa01,7512,11.2,-0.2,0,0,Rotational
Aaron Swinson,swinsaa01,51,0,-0.1,0,0,Rotational
Aaron Wiggins,wiggiaa01,6892,15,1.9,0,0,Rotational
Aaron Williams,williaa01,13669,31.7,0.39999999999999997,0,0,Starter
Abdel Nader,naderab01,2583,2.8,-0.3,0,0,Rotational
Abdul Jeelani,jeelaab01,2394,5.4,1.3,0,0,Rotational
Ace Bailey,baileac01,1988,-0.1,-1.2,0,0,Rotational
Acie Earl,earlac01,3012,0.3,-2.8,0,0,Rotational
Acie Law,lawac01,3345,2.6,-1.5,0,0,Rotational
Adam Flagler,flaglad01,217,-0.3,-0.4,0,0,Rotational
Adam Harrington,harriad01,222,0.1,-0.2,0,0,Rotational
Adam Keefe,keefead01,10334,24.9,1.6,0,0,Starter
Adam Mokoka,mokokad01,168,0.1,-0.2,0,0,Rotational
Adam Morrison,morriad01,3989,-1.4,-3,0,0,Rotational
Adama Sanogo,sanogad01,87,0.2,-0.1,0,0,Rotational
Adama-Alpha Bal,balad01,241,0.3,-0.2,0,0,Rotational
Ade Murkey,murkead01,1,0,0,0,0,Rotational
Adem Bona,bonaad01,2139,5.199999999999999,-0.5,0,0,Rotational
Admiral Schofield,schofad01,1372,1.2,-0.9,0,0,Rotational
Adonal Foyle,foylead01,13122,19,1,0,0,Starter
Adonis Jordan,jordaad01,97,-0.1,-0.1,0,0,Rotational
Adonis Thomas,thomaad01,74,0,0,0,0,Rotational
Adou Thiero,thierad01,149,0.2,-0.1,0,0,Rotational
Adreian Payne,paynead01,2142,-1.1,-2.3,0,0,Rotational
Adrian Branch,brancad01,1429,2.1,0,0,0,Rotational
Adrian Caldwell,caldwad01,2172,1.2,-2,0,0,Rotational
Adrian Dantley,dantlad01,39506,154,49.2,6,5,Superstar
Adrian Griffin,griffad01,8304,16.3,4.4,0,0,Rotational
Adrian Smith,smithad01,20097,34.1,0,1,0,All-Star
Ahmad Caver,caverah01,1,0,0,0,0,Rotational
Ajay Mitchell,mitchaj01,2070,6.3,1.5,0,0,Rotational
Al Attles,attleal01,17826,36.6,0,0,0,Starter
Al Beard,beardal01,118,0.3,0,0,0,Rotational
Al Bianchi,biancal01,13649,8.299999999999999,0,0,1,All-Star
Al Brightman,brighal01,0,0.4,0,0,0,Rotational
Al Butler,butleal01,7071,11.1,0,0,0,Rotational
Al Carlson,carlsal01,279,0.1,-0.2,0,0,Rotational
Al Cervi,cervial01,1151,22,0,0,0,Starter
Al Cueto,cuetoal01,2239,2.2,0,0,0,Rotational
Al Eberhard,eberhal01,4138,5.3,-0.5,0,0,Rotational
Al Ferrari,ferraal01,7582,8.899999999999999,0,0,0,Rotational
Al Fleming,flemial01,97,0,-0.1,0,0,Rotational
Al Guokas,guokaal01,0,-2,0,0,0,Rotational
Al Hairston,hairsal01,294,-0.5,0,0,0,Rotational
Al Harrington,harrial01,33118,50.8,5.4,0,0,All-Star
Al Henry,henryal01,447,0.7,0,0,0,Rotational
Al Horford,horfoal01,36887,119.5,45.300000000000004,5,0,Superstar
Al Jackson,jacksal01,17,-0.1,0,0,0,Rotational
Al Jefferson,jeffeal01,26299,71,21.2,0,1,All-Star
Al Lucas,lucasal01,0,0,0,0,0,Rotational
Al Lujack,lujacal01,0,0,0,0,0,Rotational
Al Masino,masinal01,2135,4,0,0,0,Rotational
Al McGuire,mcguial01,2966,5.4,0,0,0,Rotational
Al Miksis,miksial01,0,0.1,0,0,0,Rotational
Al Negratti,negraal01,0,-0.1,0,0,0,Rotational
Al Roges,rogesal01,2339,0.7,0,0,0,Rotational
Al Salvadori,salvaal01,186,-0.1,0,0,0,Rotational
Al Sanders,sandeal01,25,0.1,0,0,0,Rotational
Al Skinner,skinnal01,9509,16.2,2.7,0,0,Rotational
Al Smith,smithal01,8971,11.1,-0.6,0,0,Rotational
Al Thornton,thornal01,11736,10,-4.3,0,0,Starter
Al Tucker,tuckeal01,10182,15.6,0,0,0,Starter
Al Williams,willial01,70,0,0,0,0,Rotational
Al Wood,woodal01,10869,16.1,1.7,0,0,Starter
Al-Farouq Aminu,aminual01,18132,27.8,6.2,0,0,Starter
Alaa Abdelnaby,abdelal01,5017,7.1,-2.4,0,0,Rotational
Alan Anderson,anderal01,6793,7.2,-0.9,0,0,Rotational
Alan Hardy,hardyal01,421,0,-0.3,0,0,Rotational
Alan Henderson,hendeal01,13780,28.1,0.7000000000000001,0,0,Starter
Alan Ogg,oggal01,686,0.8,-0.5,0,0,Rotational
Alan Sawyer,sawyeal01,0,0.9,0,0,0,Rotational
Alan Williams,willial03,872,2.5000000000000004,0.1,0,0,Rotational
Alando Tucker,tuckeal02,522,0.4,-0.3,0,0,Rotational
Albert King,kingal01,12836,16.4,1.1,0,0,Starter
Alec Burks,burksal01,21917,38.5,7.9,0,0,Starter
Alec Kessler,kesslal01,2937,1.9999999999999998,-2.8,0,0,Rotational
Alec Peters,peteral01,225,0.3,0,0,0,Rotational
Aleem Ford,fordal03,74,-0.2,-0.2,0,0,Rotational
Aleksandar Djordjevic,djordal01,61,0.1,0.1,0,0,Rotational
Aleksandar Radojević,radojal01,152,-0.4,-0.4,0,0,Rotational
Aleksej Pokusevski,pokusal01,3834,0.30000000000000027,-1,0,0,Rotational
Alen Smailagić,smailal01,223,0.2,-0.1,0,0,Rotational
Alex Acker,ackeral01,433,-0.2,-0.3,0,0,Rotational
Alex Antetokounmpo,antetal01,21,0.1,0,0,0,Rotational
Alex Blackwell,blackal01,109,0,-0.1,0,0,Rotational
Alex Bradley,bradlal02,331,0.4,0,0,0,Rotational
Alex Caruso,carusal01,10307,23.1,7.8999999999999995,0,0,Starter
Alex Ducas,ducasal01,125,0.3,0,0,0,Rotational
Alex English,englial01,40464,105.9,39.6,8,6,Superstar
Alex Fudge,fudgeal01,80,0,-0.1,0,0,Rotational
Alex Garcia,garcial01,159,-0.2,0,0,0,Rotational
Alex Groza,grozaal01,0,35.9,0,1,0,All-Star
Alex Hannum,hannual01,9863,14.8,0,0,0,Rotational
Alex Kirk,kirkal01,14,0,0,0,0,Rotational
Alex Len,lenal01,14083,29.8,1.2000000000000002,0,0,Starter
Alex Morales,moralal01,24,-0.1,-0.1,0,0,Rotational
Alex Poythress,poythal01,566,0.9,-0.2,0,0,Rotational
Alex Reese,reeseal01,432,1,0,0,0,Rotational
Alex Sarr,sarral01,3119,1.3,0.30000000000000004,0,0,Rotational
Alex Scales,scaleal01,0,0,0,0,0,Rotational
Alex Stepheson,stephal01,146,0.2,0,0,0,Rotational
Alex Stivrins,stivral01,166,-0.1,-0.2,0,0,Rotational
Alexander Johnson,johnsal01,1302,1.5,-0.9,0,0,Rotational
Alexander Volkov,volkoal01,2453,4.4,1.5,0,0,Rotational
Alexey Shved,shvedal01,4038,5.300000000000001,1.9,0,0,Rotational
Alexis Ajinça,ajincal01,4245,7.9,-0.9,0,0,Rotational
Alfonzo McKinnie,mckinal01,2113,3.1000000000000005,-1.2,0,0,Rotational
Alfredrick Hughes,hugheri01,866,-0.5,-0.8,0,0,Rotational
Alijah Martin,martial01,146,0,-0.1,0,0,Rotational
Alize Johnson,johnsal02,735,1.4,-0.3,0,0,Rotational
Allan Bristow,bristal01,14159,24.7,6.6000000000000005,0,0,Starter
Allan Houston,houstal01,28311,55.2,14.9,2,0,All-Star
Allan Ray,rayal01,710,0.6,-0.1,0,0,Rotational
Allen Crabbe,crabbal01,9778,13.700000000000001,0.3999999999999999,0,0,Rotational
Allen Iverson,iversal01,43303,108.7,53.4,11,8,Superstar
Allen Leavell,leaveal01,16248,29.8,9.8,0,0,Starter
Allen Murphy,murphal01,266,-0.1,-0.3,0,0,Rotational
Allie McGuire,mcguial02,10,0,0,0,0,Rotational
Allonzo Trier,trieral01,1750,1.4,-0.3,0,0,Rotational
Alondes Williams,willial06,126,0.1,0,0,0,Rotational
Alonzo Bradley,bradlal01,1139,-0.2,-0.8,0,0,Rotational
Alonzo Gee,geeal01,10851,11.799999999999999,-0.2,0,0,Starter
Alonzo Mourning,mournal01,26677,90.9,27.5,7,4,Superstar
Alperen Sengun,sengual01,10499,30.5,13.4,2,0,All-Star
Alphonso Ford,fordal01,114,-0.3,-0.2,0,0,Rotational
Alton Ford,fordal02,524,0.8,-0.6,0,0,Rotational
Alton Lister,listeal01,19700,37.5,2.5999999999999996,0,1,All-Star
Alvan Adams,adamsal01,27203,73.4,32.9,1,0,All-Star
Alvin Heggs,heggsal01,14,0.1,0,0,0,Rotational
Alvin Jones,jonesal01,126,0.1,-0.2,0,0,Rotational
Alvin Robertson,roberal01,26675,55.5,29.8,4,1,All-Star
Alvin Scott,scottal01,10853,23.1,6.1,0,0,Starter
Alvin Sims,simsal01,25,-0.1,0,0,0,Rotational
Alvin Williams,willial02,13681,22.900000000000002,4.7,0,0,Starter
Amal McCaskill,mccasam01,968,0.39999999999999997,-0.7,0,0,Rotational
Amar'e Stoudemire,stoudam01,27499,96.1,22.900000000000002,6,5,Superstar
Amari Bailey,baileam01,65,-0.1,-0.1,0,0,Rotational
Amari Williams,william01,146,0.2,0,0,0,Rotational
Amen Thompson,thompam01,6566,22.6,8.1,0,0,Starter
Amida Brimah,brimaam01,29,0,0,0,0,Rotational
Amile Jefferson,jeffeam01,142,0.4,0,0,0,Rotational
Amir Coffey,coffeam01,6933,13.3,-0.1,0,0,Rotational
Amir Johnson,johnsam01,18323,55.3,10.6,0,0,All-Star
Anderson Varejão,varejan01,15583,47.6,8.700000000000001,0,0,Starter
Andersson Garcia,garcian01,169,0.1,-0.2,0,0,Rotational
Andrae Patterson,pattean01,304,0.7999999999999999,0,0,0,Rotational
Andray Blatche,blatcan01,12462,19.3,3.8000000000000003,0,0,Starter
Andre Barrett,barrean01,1584,0.5,-0.4,0,0,Rotational
Andre Brown,brownan01,598,0.30000000000000004,-0.5,0,0,Rotational
Andre Dawkins,dawkian01,22,-0.1,-0.1,0,0,Rotational
Andre Drummond,drumman01,30009,91.5,21.6,2,0,All-Star
Andre Emmett,emmetan01,73,0.1,-0.1,0,0,Rotational
Andre Iguodala,iguodan01,39507,100.5,41.2,1,0,Superstar
Andre Ingram,ingraan01,79,0.1,0,0,0,Rotational
Andre Jackson Jr.,jacksan01,1960,1.7999999999999998,-1,0,0,Rotational
Andre McCarter,mccaran01,1182,1.1,-0.2,0,0,Rotational
Andre Miller,millean02,45930,112,35.6,0,0,Superstar
Andre Moore,moorean01,100,0,-0.1,0,0,Rotational
Andre Owens,owensan01,602,0.2,-0.2,0,0,Rotational
Andre Roberson,roberan03,6801,12.6,2.3,0,0,Rotational
Andre Spencer,spencan01,1542,2.8,0.30000000000000004,0,0,Rotational
Andre Turner,turnean01,2638,1.4999999999999998,-0.3,0,0,Rotational
Andre Wakefield,wakefan01,1219,-2,-1.7,0,0,Rotational
Andrea Bargnani,bargnan01,15806,18.8,1.5,0,0,Starter
Andreas Glyniadakis,glynian01,81,-0.2,-0.2,0,0,Rotational
Andrei Kirilenko,kirilan01,23916,75.39999999999999,41.7,1,1,All-Star
Andrew Bogut,bogutan01,20445,51.2,15.9,0,0,All-Star
Andrew Bynum,bynuman01,11206,37.8,9.200000000000001,1,0,All-Star
Andrew DeClercq,declean01,10949,22.5,-2.3,0,0,Starter
Andrew Funk,funkan01,13,-0.1,0,0,0,Rotational
Andrew Gaze,gazean01,128,0.1,0,0,0,Rotational
Andrew Goudelock,goudean01,475,0.1,-0.3,0,0,Rotational
Andrew Harrison,harrian01,3174,3.1,-0.8,0,0,Rotational
Andrew Lang,langan01,17709,30.9,-0.3,0,0,Starter
Andrew Levane,levanan01,68,0.8000000000000002,0,0,0,Rotational
Andrew Nembhard,nembhan01,7437,8.799999999999999,-0.2,0,0,Rotational
Andrew Nicholson,nichoan01,4422,3.7,-1.9,0,0,Rotational
Andrew Toney,toneyan01,12608,26.9,4.6,2,1,All-Star
Andrew White,whitean01,209,-0.1,-0.2,0,0,Rotational
Andrew Wiggins,wiggian01,31650,43.6,8.2,1,0,All-Star
Andris Biedriņš,biedran01,11146,30.8,4.5,0,0,Starter
Andrés Guibert,guibean01,200,-0.3,-0.3,0,0,Rotational
Andrés Nocioni,nocioan01,14004,24.6,3.4,0,0,Starter
Andy Anderson,anderan01,7678,7.5,0,0,0,Rotational
Andy Duncan,duncaan01,0,6.800000000000001,0,0,0,Rotational
Andy Johnson,johnsan01,6772,8,0,0,0,Rotational
Andy Kostecka,kostean01,0,1.7,0,0,0,Rotational
Andy O'Donnell,odonnan01,0,0.3,0,0,0,Rotational
Andy Panko,pankoan01,1,0,0,0,0,Rotational
Andy Phillip,phillan01,18068,67.9,0,5,0,All-Star
Andy Rautins,rautian01,24,-0.2,-0.1,0,0,Rotational
Andy Tonkovich,tonkoan01,0,-0.4,0,0,0,Rotational
Andy Toolson,toolsan01,523,0.6,-0.2,0,0,Rotational
Andy Walker,walkean01,438,0.7,0.1,0,0,Rotational
Anfernee Hardaway,hardaan01,25806,64,27,4,3,Superstar
Anfernee Simons,simonan01,13164,18.6,3.6,0,0,Starter
Angelo Musi,musian01,0,5.9,0,0,0,Rotational
Ansley Truitt,truitan01,86,-0.1,0,0,0,Rotational
Ansu Sesay,sesayan01,1301,1.4,-0.4,0,0,Rotational
Antawn Jamison,jamisan01,40044,93.7,25.7,2,1,All-Star
Ante Žižić,zizican01,1517,3.5,-0.2,0,0,Rotational
Anthony Avent,aventan01,8100,0.7999999999999999,-7.4,0,0,Rotational
Anthony Bennett,bennean01,1905,0.5,-1.3,0,0,Rotational
Anthony Black,blackan01,4961,6.6,0.39999999999999997,0,0,Rotational
Anthony Bonner,bonnean01,7372,10.6,0.10000000000000009,0,0,Rotational
Anthony Bowie,bowiean01,8349,12.2,1.2999999999999998,0,0,Rotational
Anthony Brown,brownan02,921,-0.3,-0.7,0,0,Rotational
Anthony Carter,cartean01,12647,10.7,-0.1,0,0,Starter
Anthony Cook,cookan01,1702,1.2000000000000002,-0.8,0,0,Rotational
Anthony Davis,davisan02,29447,126.7,58,10,4,Superstar
Anthony Edwards,edwaran01,15400,31.3,15.8,4,2,All-Star
Anthony Frederick,fredean01,1640,0.7,-0.2,0,0,Rotational
Anthony Gill,gillan01,3119,5.8999999999999995,-1,0,0,Rotational
Anthony Goldwire,goldwan01,6846,9.5,0.8,0,0,Rotational
Anthony Grundy,grundan01,108,0.2,0,0,0,Rotational
Anthony Johnson,johnsan02,19532,26.5,1.1000000000000003,0,0,Starter
Anthony Jones,jonesan01,2758,1.6,-0.2,0,0,Rotational
Anthony Lamb,lamban01,1618,2.6,-0.1,0,0,Rotational
Anthony Mason,masonan01,30605,88.5,23.1,1,2,All-Star
Anthony Miller,millean01,1648,3.7,-0.1,0,0,Rotational
Anthony Morrow,morroan01,13377,24.9,4.3,0,0,Starter
Anthony Parker,parkean01,13752,24.5,6,0,0,Starter
Anthony Peeler,peelean01,21657,33.5,7.7,0,0,Starter
Anthony Pullard,pullaan01,37,-0.1,-0.1,0,0,Rotational
Anthony Randolph,randoan01,4431,6.300000000000001,0.5,0,0,Rotational
Anthony Roberson,roberan02,867,0.7,0.1,0,0,Rotational
Anthony Roberts,roberan01,3867,3.3,-2.3,0,0,Rotational
Anthony Taylor,tayloan01,368,0.2,0,0,0,Rotational
Anthony Tolliver,tollian01,17928,31.7,3.2,0,0,Starter
Anthony Tucker,tuckean01,982,0.6,-0.3,0,0,Rotational
Antoine Carr,carran01,21507,45.5,4.6,0,0,Starter
Antoine Rigaudeau,rigauan01,91,-0.4,-0.3,0,0,Rotational
Antoine Walker,walkean02,34486,39.1,19.3,3,1,All-Star
Antoine Wright,wrighan01,6946,3.8,-2.7,0,0,Rotational
Anton Watson,watsoan02,22,0,0,0,0,Rotational
Antonio Anderson,anderan02,15,0,0,0,0,Rotational
Antonio Blakeney,blakean01,1143,-0.5,-1,0,0,Rotational
Antonio Burks,burksan01,789,0.1,-0.6,0,0,Rotational
Antonio Daniels,daniean01,20692,48.5,10,0,0,Starter
Antonio Davis,davisan01,29594,63.8,3.8000000000000003,1,0,All-Star
Antonio Harvey,harvean01,2775,5.551115123125783e-17,-2.2,0,0,Rotational
Antonio Lang,langan02,1433,1.7,-0.6,0,0,Rotational
Antonio McDyess,mcdyean01,28980,71,12.899999999999999,1,0,All-Star
Antonio Reeves,reevean01,728,0.6000000000000001,-0.1,0,0,Rotational
Antonis Fotsis,fotsian01,320,0.1,-0.1,0,0,Rotational
Antonius Cleveland,clevean01,292,-0.1,-0.3,0,0,Rotational
Anžejs Pasečņiks,pasecan01,443,0.4,-0.5,0,0,Rotational
Archie Clark,clarkar01,26866,75.8,2.4,2,1,All-Star
Archie Dees,deesar01,3380,6.1000000000000005,0,0,0,Rotational
Archie Goodwin,goodwar01,2610,1.9,-0.5,0,0,Rotational
Ariel Hukporti,hukpoar01,715,1.3,-0.2,0,0,Rotational
Ariel Maughan,maughar01,0,5.2,0,0,0,Rotational
Arinze Onuaku,onuakar01,156,0.3,0.1,0,0,Rotational
Armand Cure,curear01,0,0,0,0,0,Rotational
Armel Traoré,armeltr01,67,-0.1,-0.1,0,0,Rotational
Armen Gilliam,gilliar01,31491,67.3,9.6,0,0,All-Star
Armon Johnson,johnsar02,525,-0.1,-0.2,0,0,Rotational
Armond Hill,hillar01,14246,11.8,-2,0,0,Starter
Armoni Brooks,brookar01,2312,0.7,-1.1,0,0,Rotational
Arnett Moultrie,moultar01,729,1.7,-0.2,0,0,Rotational
Arnie Ferrin,ferriar01,0,7.6,0,0,0,Rotational
Arnie Johnson,johnsar01,4142,39.2,0,0,0,Starter
Arnie Risen,risenar01,12690,55.9,0,4,0,All-Star
Arnoldas Kulboka,kulboar01,5,0,0,0,0,Rotational
Aron Baynes,baynear01,8370,20.2,-0.8,0,0,Starter
Arron Afflalo,afflaar01,23331,36.2,2.1,0,0,Starter
Art Becker,beckear01,12293,32.8,0,2,0,All-Star
Art Burris,burriar01,1028,-1.9,0,0,0,Rotational
Art Collins,colliar01,395,-0.4,-0.4,0,0,Rotational
Art Harris,harriar01,6759,-3.2,0,0,0,Rotational
Art Heyman,heymaar01,11231,28.2,0,1,0,All-Star
Art Hillhouse,hillhar01,0,6.1000000000000005,0,0,0,Rotational
Art Long,longar01,1431,0.6,-1.3,0,0,Rotational
Art Spector,spectar01,0,2.8,0,0,0,Rotational
Art Spoelstra,spoelar01,6553,10.1,0,0,0,Rotational
Art Stolkey,stolkar01,0,1.6,0,0,0,Rotational
Art Williams,williar01,9418,17.7,0.3,0,0,Rotational
Artis Gilmore,gilmoar01,48027,190.7,50.8,11,4,Superstar
Arvesta Kelly,kellyar01,4187,6.000000000000001,0,0,0,Rotational
Arvid Kramer,kramear01,45,-0.1,-0.1,0,0,Rotational
Arvydas Macijauskas,macijar01,135,0,-0.1,0,0,Rotational
Arvydas Sabonis,sabonar01,11375,47.1,18.4,0,1,All-Star
Asa Newell,newelas01,500,1.2,0.1,0,0,Rotational
Ashraf Amaya,amayaas01,1248,1.9000000000000001,-1,0,0,Rotational
Ashton Hagans,haganas01,320,0,-0.1,0,0,Rotational
Askia Jones,jonesas01,139,-0.1,-0.2,0,0,Rotational
Aubrey Davis,davisau01,0,3.9,0,0,0,Rotational
Aud Brindley,brindau01,0,0.2,0,0,0,Rotational
Audie Norris,norriau01,2585,2.9,-1.1,0,0,Rotational
Aulcie Perry,perryau01,415,0.1,-0.1,0,0,Rotational
Ausar Thompson,thompau01,4807,11.3,3.5,0,0,Rotational
Austin Carr,carrau01,20317,32.7,4.6,1,0,All-Star
Austin Croshere,croshau01,11580,27.7,5.6,0,0,Starter
Austin Daye,dayeau01,5300,6.4,0.19999999999999998,0,0,Rotational
Austin Reaves,reaveau01,10202,27.4,7.5,0,0,Starter
